datetime,vol,op,comp1p,comp2p,comp3p,hour,day_of_week,month
2023-05-09 11:00:00,34.86,1.788689,1.794666667,1.815,1.801333333,11,1,5
2023-05-09 13:00:00,22.59,1.838729,1.828333333,1.839,1.851,13,1,5
2023-05-09 14:00:00,36.92,1.809157,1.795333333,1.8095,1.8125,14,1,5
2023-05-09 15:00:00,127.8,1.830299,1.805,1.82,1.841,15,1,5
2023-05-09 16:00:00,26.42,1.789046,1.780833333,1.8035,1.781166667,16,1,5
2023-05-09 17:00:00,137.4,1.769054,1.745166667,1.7815,1.764,17,1,5
2023-05-09 18:00:00,125.23,1.74571,1.736,1.752,1.741,18,1,5
2023-05-09 19:00:00,156.41,1.75402,1.7435,1.777,1.754,19,1,5
2023-05-09 20:00:00,171.2,1.739007,1.724166667,1.7505,1.744166667,20,1,5
2023-05-09 21:00:00,101.57,1.698868,1.698,1.7115,1.719,21,1,5
2023-05-10 06:00:00,57.82,1.698963,1.725666667,1.758491525,1.719,6,2,5
2023-05-10 07:00:00,44.98,1.819034,1.799,1.829,1.719,7,2,5
2023-05-10 08:00:00,163.84,1.812917,1.7725,1.8175,1.778666667,8,2,5
2023-05-10 09:00:00,21.99,1.818796,1.798166667,1.846,1.834,9,2,5
2023-05-10 10:00:00,11.17,1.798209,1.805833333,1.837,1.817,10,2,5
2023-05-10 11:00:00,62.78,1.779209,1.7725,1.782,1.785833333,11,2,5
2023-05-10 12:00:00,53.45,1.818975,1.7855,1.836,1.835666667,12,2,5
2023-05-10 13:00:00,27.56,1.819034,1.806833333,1.832,1.8325,13,2,5
2023-05-10 14:00:00,30.95,1.778931,1.786166667,1.8105,1.810833333,14,2,5
2023-05-10 15:00:00,3.25,1.827007,1.805,1.826,1.841,15,2,5
2023-05-10 16:00:00,111.59,1.815543,1.799,1.819,1.809,16,2,5
2023-05-10 17:00:00,21.99,1.818796,1.799,1.819,1.809,17,2,5
2023-05-10 18:00:00,61.83,1.809157,1.799,1.819,1.809,18,2,5
2023-05-10 19:00:00,33.91,1.838788,1.799,1.819,1.809,19,2,5
2023-05-10 20:00:00,85.59,1.809038,1.799,1.819,1.809,20,2,5
2023-05-11 08:00:00,46.05,1.788927,1.773666667,1.824,1.789166667,8,3,5
2023-05-11 09:00:00,50.02,1.80886,1.798166667,1.802,1.834,9,3,5
2023-05-11 10:00:00,37.57,1.803981,1.805833333,1.799,1.817,10,3,5
2023-05-11 12:00:00,47.29,1.808979,1.784,1.835,1.825666667,12,3,5
2023-05-11 13:00:00,46.38,1.8088,1.8015,1.8285,1.823,13,3,5
2023-05-11 14:00:00,39.75,1.818737,1.7835,1.8005,1.809833333,14,3,5
2023-05-11 15:00:00,68.43,1.828822,1.808166667,1.799,1.840333333,15,3,5
2023-05-11 16:00:00,92.7,1.80886,1.7725,1.786,1.775666667,16,3,5
2023-05-11 17:00:00,62.78,1.749141,1.743666667,1.7725,1.784,17,3,5
2023-05-11 18:00:00,95.87,1.763325,1.746833333,1.76,1.760333333,18,3,5
2023-05-11 19:00:00,83.63,1.77544,1.7635,1.768,1.774,19,3,5
2023-05-11 20:00:00,159.4,1.763788,1.747,1.749,1.7625,20,3,5
2023-05-11 21:00:00,130.4,1.72904,1.7235,1.7325,1.749,21,3,5
